PR,Total,Dist-prod,%,Dominated,BaseRef
2072,4,00,0.0,no,UNKNOWN
2259,2,00,0.0,no,UNKNOWN
2423,8,00,0.0,no,UNKNOWN
2593,2257,983,43.6,no,UNKNOWN
2633,60,00,0.0,no,UNKNOWN
2642,6,00,0.0,no,UNKNOWN
2645,3,00,0.0,no,UNKNOWN
2648,86,00,0.0,no,UNKNOWN
2654,15,00,0.0,no,UNKNOWN
2670,5,00,0.0,no,UNKNOWN
2832,2,00,0.0,no,UNKNOWN
2850,2255,983,43.6,no,UNKNOWN
2852,2255,983,43.6,no,UNKNOWN
2854,2255,983,43.6,no,UNKNOWN
2859,12,00,0.0,no,UNKNOWN
2873,3,00,0.0,no,UNKNOWN
2876,1,00,0.0,no,UNKNOWN
2900,1,00,0.0,no,UNKNOWN
2904,1,00,0.0,no,UNKNOWN
2905,2,00,0.0,no,UNKNOWN
2906,3,00,0.0,no,UNKNOWN
2907,3,00,0.0,no,UNKNOWN
2908,1,00,0.0,no,UNKNOWN
2909,4,00,0.0,no,UNKNOWN
2910,1,00,0.0,no,UNKNOWN
2911,1,00,0.0,no,UNKNOWN
2917,3,00,0.0,no,UNKNOWN
2918,1,00,0.0,no,UNKNOWN
2919,1,00,0.0,no,UNKNOWN
2920,1,00,0.0,no,UNKNOWN
2921,1,00,0.0,no,UNKNOWN
2922,1,00,0.0,no,UNKNOWN
2923,7,00,0.0,no,UNKNOWN
2924,4,00,0.0,no,UNKNOWN
2925,1,00,0.0,no,UNKNOWN
2926,1,00,0.0,no,UNKNOWN
